Target,Toxins,Drug,Approval_yr,Action,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02964507,https://clinicaltrials.gov/study/NCT02964507,Phase 1,Terminated,primary,PK,Phase I: Plasma Concentration of GSK525762,"Day 1: Pre-dose, 0.5, 1, 3 hours on Week",Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02964507,https://clinicaltrials.gov/study/NCT02964507,Phase 1,Terminated,secondary,PK,Phase I: Plasma Concentration of GSK3529246,"Day 1: Pre-dose, 0.5, 1, 3 hours on Week",Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02964507,https://clinicaltrials.gov/study/NCT02964507,Phase 1,Terminated,secondary,PK,Phase I: Plasma Concentration of Fulvestrant,"Day 1: Pre-dose on Weeks 1, 3, 5, 9, 17,",Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02964507,https://clinicaltrials.gov/study/NCT02964507,Phase 1,Terminated,secondary,PK,Phase II: Plasma Concentration of GSK525762 and GSK3529246,"Day 1: Pre-dose, 0.5, 1, 3 hours on Week",Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02964507,https://clinicaltrials.gov/study/NCT02964507,Phase 1,Terminated,secondary,PK,Phase II: Plasma Concentration of Fulvestrant,"Day 1: Pre-dose on Weeks 1, 3, 5, 9, 17,",Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02983071,https://clinicaltrials.gov/study/NCT02983071,Phase 1,Unknown,secondary,PK,"Pharmacokinetics of G1T38, Fulvestrant, and Goserelin: Maximum Plasma Concentration (Cmax)",Week 1 Day 1-Week 9 Day 1,"Breast Cancer; Breast Neoplasm; Carcinoma, Ductal, Breast",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02983071,https://clinicaltrials.gov/study/NCT02983071,Phase 1,Unknown,secondary,PK,"Pharmacokinetics of G1T38, Fulvestrant, and Goserelin: Area under Curve - plasma concentration (AUC)",Week 1 Day 1-Week 9 Day 1,"Breast Cancer; Breast Neoplasm; Carcinoma, Ductal, Breast",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02983071,https://clinicaltrials.gov/study/NCT02983071,Phase 1,Unknown,secondary,PK,"Pharmacokinetics of G1T38, Fulvestrant, and Goserelin: Plasma: terminal half life (T1/2)",Week 1 Day 1-Week 9 Day 1,"Breast Cancer; Breast Neoplasm; Carcinoma, Ductal, Breast",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02983071,https://clinicaltrials.gov/study/NCT02983071,Phase 1,Unknown,secondary,PK,"Pharmacokinetics of G1T38, Fulvestrant, and Goserelin: Plasma - Volume of distribution",Week 1 Day 1-Week 9 Day 1,"Breast Cancer; Breast Neoplasm; Carcinoma, Ductal, Breast",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02983604,https://clinicaltrials.gov/study/NCT02983604,Phase 1,Terminated,secondary,PK,Phase 1b Dose Escalation: Pharmacokinetic (PK) Parameter: Cmax of GS-5829,"Predose, 0.5, 1, 2, 3, 4, 6, 8, and 24 h",Advanced Estrogen Receptor Positive HER2- Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT02983604,https://clinicaltrials.gov/study/NCT02983604,Phase 1,Terminated,secondary,PK,Phase 1b Dose Escalation: PK Parameter: AUCtau of GS-5829,"Predose, 0.5, 1, 2, 3, 4, 6, 8, and 24 h",Advanced Estrogen Receptor Positive HER2- Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Area Under the Concentration Time-Curve (AUC) from Time Zero to Infinity (AUCinf) of Inavolisib,Predose (0-2 hours before dosing) on Cyc,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,AUC from Time Zero to Dosing Interval (AUC0-tau) of Inavolisib,Predose (0-2 hours before dosing) on Cyc,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Maximum Plasma Concentration (Cmax) of Inavolisib,Predose (0-2 hours before dosing) on Cyc,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Minimum Plasma Concentration (Cmin) of Inavolisib,Predose (0-2 hours before dosing) on Cyc,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Time to Cmax (tmax) of Inavolisib,Predose (0-2 hours before dosing) on Cyc,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,AUC of Palbociclib,Predose (0-2 hours before inavolisib) do,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Cmax of Palbociclib,Predose (0-2 hours before inavolisib) do,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,AUC of Letrozole,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Cmax of Letrozole,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,AUC of Fulvestrant,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Cmax of Fulvestrant,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,AUC of Pertuzumab,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Cmax of Pertuzumab,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,AUC of Trastuzumab,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03006172,https://clinicaltrials.gov/study/NCT03006172,Phase 1,Active Not Recruiting,secondary,PK,Cmax of Trastuzumab,Predose (0-2 hours before inavolisib dos,Breast Cancer; Solid Tumor,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03134638,https://clinicaltrials.gov/study/NCT03134638,Phase 1,Terminated,secondary,PK,Peak Plasma Concentration (Cmax) of SY-1365 as a single agent (Part 1 and 2) and in combination with carboplatin (Part 2 only),Within 1 year,Advanced Solid Tumors; Breast Cancer; Ovarian Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03134638,https://clinicaltrials.gov/study/NCT03134638,Phase 1,Terminated,secondary,PK,Area under the plasma concentration-time curve from time zero to the last quantifiable time point (AUC0-last) of SY-1365 as a single agent (Part 1 and 2) and in combination with carboplatin (Part 2 only),Within 1 year,Advanced Solid Tumors; Breast Cancer; Ovarian Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03134638,https://clinicaltrials.gov/study/NCT03134638,Phase 1,Terminated,secondary,PK,Area under the plasma concentration-time curve from time zero extrapolated to infinity (AUC0-INF) of SY-1365 as a single agent (Part 1 and 2) and in combination with carboplatin (Part 2 only),Within 1 year,Advanced Solid Tumors; Breast Cancer; Ovarian Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03182634,https://clinicaltrials.gov/study/NCT03182634,Phase 2,Unknown,secondary,PK,Maximum Plasma Concentration (Cmax),Monthly up to 4 months,Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03182634,https://clinicaltrials.gov/study/NCT03182634,Phase 2,Unknown,secondary,PK,Area Under the Curve (AUC),Monthly up to 4 months,Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03236974,https://clinicaltrials.gov/study/NCT03236974,Phase 1,Completed,secondary,PK,Plasma concentration of AZD9496 - stand alone biopsy visit option,Blood samples collected close as possibl,Postmenopausal Women With ER+ HER2- Primary Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03236974,https://clinicaltrials.gov/study/NCT03236974,Phase 1,Completed,secondary,PK,Plasma concentration of fulvestrant,A blood sample will be collected anytime,Postmenopausal Women With ER+ HER2- Primary Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03236974,https://clinicaltrials.gov/study/NCT03236974,Phase 1,Completed,secondary,PK,Plasma concentration of AZD9496 - on the table biopsy option,Blood samples collected close as possibl,Postmenopausal Women With ER+ HER2- Primary Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03238196,https://clinicaltrials.gov/study/NCT03238196,Phase 1,Completed,secondary,PK,Pharmacokinetic Assessment of Erdafitinib - Area Under the Curve (AUC),From the time of randomization up to 4 w,Metastatic Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03238196,https://clinicaltrials.gov/study/NCT03238196,Phase 1,Completed,secondary,PK,Pharmacokinetic Assessment of Erdafitinib - Cmax (Maximum Plasma Concentration),From the time of randomization up to 4 w,Metastatic Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03238196,https://clinicaltrials.gov/study/NCT03238196,Phase 1,Completed,secondary,PK,Pharmacokinetic Assessment of Erdafitinib - Tmax,From the time of randomization up to 4 w,Metastatic Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03238196,https://clinicaltrials.gov/study/NCT03238196,Phase 1,Completed,secondary,PK,Pharmacokinetic Assessment of Erdafitinib - CL/F,From the time of randomization up to 4 w,Metastatic Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03241810,https://clinicaltrials.gov/study/NCT03241810,Phase 2,Terminated,secondary,PK,Pharmacokinetic (PK) Profile of Seribantumab When Given in Combination With Fulvestrant and of Fulvestrant When Given in Combination With Serbantumab.,The study terminated prematurely after 1,Metastatic Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03280563,https://clinicaltrials.gov/study/NCT03280563,Phase 1,Completed,secondary,PK,Stage 1: Plasma Concentration of Entinostat,Predose on Day 1 of Cycles 1 and 2; 2-4,Breast Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03280563,https://clinicaltrials.gov/study/NCT03280563,Phase 1,Completed,secondary,PK,Stage 1: Plasma Concentration of Abemaciclib,"Predose on Day 1 of Cycles 1, 2 and 3, a",Breast Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03280563,https://clinicaltrials.gov/study/NCT03280563,Phase 1,Completed,secondary,PK,Stage 1: Plasma Concentration of Ipatasertib,"Predose and Postdose at 1 Hour, 2 Hour,",Breast Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03280563,https://clinicaltrials.gov/study/NCT03280563,Phase 1,Completed,secondary,PK,Stage 1: Plasma Concentration of Fulvestrant,Predose on Day 1 of Cycle 2 and Cycle 3,Breast Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03280563,https://clinicaltrials.gov/study/NCT03280563,Phase 1,Completed,secondary,PK,Stage 2: Plasma Concentration of Fulvestrant,Predose on Day 1 of Cycles 2 and 3 (Cycl,Breast Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03280563,https://clinicaltrials.gov/study/NCT03280563,Phase 1,Completed,secondary,PK,Stage 2: Serum Concentration of Atezolizumab,"Predose on Day 1 of Cycles 1, 2, 3, 4, 8",Breast Neoplasms,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03308201,https://clinicaltrials.gov/study/NCT03308201,Phase 1,Completed,secondary,PK,Area under the plasma concentration versus time curve of Hemay022 and exemestane,"0, 0.5, 1, 2, 3, 4, 8, 12, 24 hours post",Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03308201,https://clinicaltrials.gov/study/NCT03308201,Phase 1,Completed,secondary,PK,Trough Plasma Concentrations of Hemay022 and exemestane,pre-dose on day 14,Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03324061,https://clinicaltrials.gov/study/NCT03324061,Phase 1,Completed,primary,PK,Pharmacokinetic parameters,Day 0 through Day 140,Pharmacokinetics,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03363893,https://clinicaltrials.gov/study/NCT03363893,Phase 1,Completed,secondary,PK,"Maximum Plasma Concentration of CT7001 (and Fulvestrant, where applicable) (Cmax)",After the first dose and during the dosi,Advanced Solid Malignancies,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03363893,https://clinicaltrials.gov/study/NCT03363893,Phase 1,Completed,secondary,PK,Area Under the Curve (AUC),After the first dose and during the dosi,Advanced Solid Malignancies,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03481998,https://clinicaltrials.gov/study/NCT03481998,Phase 1,Completed,secondary,PK,Area under the plasma concentration versus time curve (AUC) of SHR6390,Up to 4 weeks,Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03481998,https://clinicaltrials.gov/study/NCT03481998,Phase 1,Completed,secondary,PK,Peak Plasma Concentration (Cmax) of SHR6390,Up to 4 weeks,Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03584009,https://clinicaltrials.gov/study/NCT03584009,Phase 2,Terminated,secondary,PK,Plasma Concentrations of Venetoclax,Cycle 1 Day 1: 4 hours (hrs) post-dose;,Estrogen Receptor-positive (ER+)/Human Epidermal Growth Factor Receptor (HER2)-Negative Locally Advanced or Me,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03584009,https://clinicaltrials.gov/study/NCT03584009,Phase 2,Terminated,secondary,PK,Plasma Concentrations of Fulvestrant (in Presence of Venetoclax),Cycle 2 Day 1: pre-dose (within 1 hr); C,Estrogen Receptor-positive (ER+)/Human Epidermal Growth Factor Receptor (HER2)-Negative Locally Advanced or Me,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03584009,https://clinicaltrials.gov/study/NCT03584009,Phase 2,Terminated,secondary,PK,Plasma Concentrations of Fulvestrant (in Absence of Venetoclax),Cycle 2 Day 1: pre-dose (within 1 hr); a,Estrogen Receptor-positive (ER+)/Human Epidermal Growth Factor Receptor (HER2)-Negative Locally Advanced or Me,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03803761,https://clinicaltrials.gov/study/NCT03803761,Phase 1,Withdrawn,other,PK,Pharmacokinetics (PK) and pharmacodynamic data (RPPA),Up to 30 days post treatment,Anatomic Stage IV Breast Cancer AJCC v8; Metastatic Breast Carcinoma; Metastatic Malignant Neoplasm in the Bra,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT03927456,https://clinicaltrials.gov/study/NCT03927456,Phase 3,Unknown,secondary,PK,Ctrough,Up to 4 weeks,Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04059484,https://clinicaltrials.gov/study/NCT04059484,Phase 2,Terminated,secondary,PK,Pharmacokinetics: Plasma Concentrations of Amcenestrant,"Cycle 1 Day 1: 1.5 hours(h), 4h post-dos",Breast Cancer Metastatic,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04059484,https://clinicaltrials.gov/study/NCT04059484,Phase 2,Terminated,secondary,PK,Within-Participant Steady State Ctrough of Amcenestrant,Predose on Cycle 1 Day 15; Cycle 2 Day 1,Breast Cancer Metastatic,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04060862,https://clinicaltrials.gov/study/NCT04060862,Phase 1,Terminated,secondary,PK,Phase Ib: Plasma Concentration of Ipatasertib and Its Metabolite G-037720,"Cycle 1, Day 1 and 15: 0.25 hours pre-do",Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04060862,https://clinicaltrials.gov/study/NCT04060862,Phase 1,Terminated,secondary,PK,Phase Ib: Maximum Concentration (Cmax) of Ipatasertib and Its Metabolite G-037720 in Plasma,Cycle 1: Day 1 and Day 15,Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04060862,https://clinicaltrials.gov/study/NCT04060862,Phase 1,Terminated,secondary,PK,Phase Ib: Area Under the Plasma Concentration Time-curve From Zero to 24 Hours (AUC0-24) of Ipatasertib and Its Metabolite G-037720,Cycle 1: Day 1 and Day 15,Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04092673,https://clinicaltrials.gov/study/NCT04092673,Phase 1,Unknown,secondary,PK,Evaluate plasma Pharmacokinetic (PK) parameters of eFT226,"Through study completion, approximately","Solid Tumor, Adult",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04092673,https://clinicaltrials.gov/study/NCT04092673,Phase 1,Unknown,secondary,PK,Evaluate plasma Pharmacokinetic (PK) parameters of eFT226including terminal state volume of distribution,"Through study completion, approximately","Solid Tumor, Adult",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04092673,https://clinicaltrials.gov/study/NCT04092673,Phase 1,Unknown,secondary,PK,Evaluate plasma Pharmacokinetic (PK) parameters of eFT226 including terminal phase rate constant,"Through study completion, approximately","Solid Tumor, Adult",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04115306,https://clinicaltrials.gov/study/NCT04115306,Phase 1,Active Not Recruiting,secondary,PK,Plasma concentration of PMD-026 when administered in combination with fulvestrant,As determined by PK data,Metastatic Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04191499,https://clinicaltrials.gov/study/NCT04191499,Phase 2,Active Not Recruiting,secondary,PK,Plasma Concentration of Inavolisib,"Predose on Cycle 1 Days 1, 8 and 15 and",Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04191499,https://clinicaltrials.gov/study/NCT04191499,Phase 2,Active Not Recruiting,secondary,PK,Plasma Concentration of Palbociclib,"Predose on Cycle 1 Days 1, 8 and 15 and",Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04191499,https://clinicaltrials.gov/study/NCT04191499,Phase 2,Active Not Recruiting,secondary,PK,Plasma Concentration of Fulvestrant,"Predose on Cycle 1 Days 1, 8 and 15 and",Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04214288,https://clinicaltrials.gov/study/NCT04214288,Phase 2,Active Not Recruiting,secondary,PK,Plasma Concentrations of AZD9833,"Cycle 1 Day 15 (pre-dose), Cycle 1 Day 1",Advanced ER-Positive HER2-Negative Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04224272,https://clinicaltrials.gov/study/NCT04224272,Phase 2,Completed,secondary,PK,Maximum Serum Concentration of ZW25,"Cycle 1, Days 1, 2, 5, 15; Cycle 2, Days",HER2+/HR+ Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04224272,https://clinicaltrials.gov/study/NCT04224272,Phase 2,Completed,secondary,PK,Trough Concentration of ZW25,"Cycle 1, Days 1, 2, 5, 15; Cycle 2, Days",HER2+/HR+ Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04247126,https://clinicaltrials.gov/study/NCT04247126,Phase 1,Completed,secondary,PK,Groups 1 and 2: Maximum Plasma Concentration (Cmax) of SY-5609,"Predose, 0.5, 1, 2, 4, 6, 8 hours postdo",Advanced Solid Tumor; Breast Cancer; Pancreatic Cancer; Small-cell Lung Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04247126,https://clinicaltrials.gov/study/NCT04247126,Phase 1,Completed,secondary,PK,Groups 1 and 2: Time of Maximum Plasma Concentration (Tmax) of SY-5609,"Predose, 0.5, 1, 2, 4, 6, 8 hours postdo",Advanced Solid Tumor; Breast Cancer; Pancreatic Cancer; Small-cell Lung Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04247126,https://clinicaltrials.gov/study/NCT04247126,Phase 1,Completed,secondary,PK,Groups 1 and 2: Minimum or Trough Plasma Concentration (Cmin) of SY-5609,"Predose, 0.5, 1, 2, 4, 6, 8 hours postdo",Advanced Solid Tumor; Breast Cancer; Pancreatic Cancer; Small-cell Lung Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04247126,https://clinicaltrials.gov/study/NCT04247126,Phase 1,Completed,secondary,PK,Groups 1 and 2: Time of Minimum or Trough Plasma Concentration (Tmin) of SY-5609,"Predose, 0.5, 1, 2, 4, 6, 8 hours postdo",Advanced Solid Tumor; Breast Cancer; Pancreatic Cancer; Small-cell Lung Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04282031,https://clinicaltrials.gov/study/NCT04282031,Phase 1,Recruiting,secondary,PK,Phase 1 and 2a: Maximum plasma concentration (Cmax) of BPI-1178 and its main metabolites,From single dosing in phase 1 or from ba,Advanced Solid Tumor; HR+/HER2- Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04282031,https://clinicaltrials.gov/study/NCT04282031,Phase 1,Recruiting,secondary,PK,Phase 1 and 2a: Area under the plasma concentration versus time curve (AUC) of BPI-1178 and its main metabolites,From single dosing in phase 1 or from ba,Advanced Solid Tumor; HR+/HER2- Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04355520,https://clinicaltrials.gov/study/NCT04355520,Phase 1,Unknown,secondary,PK,Cmax,"Hour 0, 0.5, 1, 2, 3, 4, 6, 8, 11, 24 ho","HR-positive, HER2-negative and PIK3CA Mutation Advanced Breast Cancer",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04355520,https://clinicaltrials.gov/study/NCT04355520,Phase 1,Unknown,secondary,PK,AUC0-t,"Hour 0, 0.5, 1, 2, 3, 4, 6, 8, 11, 24 ho","HR-positive, HER2-negative and PIK3CA Mutation Advanced Breast Cancer",No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04483505,https://clinicaltrials.gov/study/NCT04483505,Phase 1,Completed,secondary,PK,Pharmacokinetic interactions of fulvestrant and palbociclib over rogaratinib metabolism.,2 years,Breast Cancer Metastatic; Hormone Receptor Positive Malignant Neoplasm of Breast,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04498520,https://clinicaltrials.gov/study/NCT04498520,Phase 1,Withdrawn,secondary,PK,Abexinostat: Maximum concentration (Cmax),"Cycle 1, Days 1 and 11; Cycle 2, Day 11",Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breas,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04498520,https://clinicaltrials.gov/study/NCT04498520,Phase 1,Withdrawn,secondary,PK,Abexinostat: Trough concentration (Ctrough),"Cycle 1, Days 1 and 11; Cycle 2, Day 11",Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breas,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04524000,https://clinicaltrials.gov/study/NCT04524000,Phase 2,Active Not Recruiting,secondary,PK,[Part 1] Plasma concentrations of alpelisib in combination with fulvestrant,"Cycle 1 Day 8 (pre-dose), 15 (pre-dose,",Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04524000,https://clinicaltrials.gov/study/NCT04524000,Phase 2,Active Not Recruiting,secondary,PK,[Part 2] Plasma concentrations of alpelisib in combination with fulvestrant,"Cycle 1 Day 8 (pre-dose), 15 (pre-dose,",Advanced Breast Cancer,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04539496,https://clinicaltrials.gov/study/NCT04539496,Phase 1,Active Not Recruiting,secondary,PK,Pharmacokinetics (PK),From baseline up to month 3,Advanced Breast Cancer; Metastasis Solid Tumors,No
ESR1,dieldrin,Fulvestrant,2002,ANTAGONIST/DEGRADER,NCT04544189,https://clinicaltrials.gov/study/NCT04544189,Phase 2,Active Not Recruiting,secondary,PK,Pharmacokinetics (PK): Trough concentration of alpelisib in plasma,"Predose at Cycle (C) 1 Day (D) 15, C2 D1",Breast Neoplasms,No
