Target,Toxins,Drug,Approval_yr,Action,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01506752,https://clinicaltrials.gov/study/NCT01506752,Phase 1,Completed,primary,PK,"PK Parameter Cmax, calculated from plasma E2020 concentration by a non-compartmental analysis, will be evaluated.",Up to 168 hrs after administration,Healthy Adult,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01506752,https://clinicaltrials.gov/study/NCT01506752,Phase 1,Completed,primary,PK,"PK Parameter AUC(0-168), calculated from plasma E2020 concentration by a non-compartmental analysis, will be evaluated.",Up to 168 hrs after administration,Healthy Adult,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01677754,https://clinicaltrials.gov/study/NCT01677754,Phase 2,Completed,secondary,PK,Area Under the Plasma Concentration-Time Curve of RO4602522,"Day -1, pre-dose (0 hour) on Days 14, 28",Alzheimer's Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01677754,https://clinicaltrials.gov/study/NCT01677754,Phase 2,Completed,secondary,PK,Maximum Plasma Concentration of RO4602522,"Day -1, pre-dose (0 hour) on Days 14, 28",Alzheimer's Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01860625,https://clinicaltrials.gov/study/NCT01860625,Phase 1,Completed,secondary,PK,pharmacokinetics characteristic evaluation,"1d 0h(before administration), (after adm",Alzheimer Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01903824,https://clinicaltrials.gov/study/NCT01903824,Phase 1,Completed,secondary,PK,area under the drug concentration-time curve (AUC0-t),Baseline to Hour 22,Cognitive Impairment,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01903824,https://clinicaltrials.gov/study/NCT01903824,Phase 1,Completed,secondary,PK,maximal observed plasma drug concentration (Cmax),Baseline to Hour 22,Cognitive Impairment,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01923259,https://clinicaltrials.gov/study/NCT01923259,Phase 1,Completed,primary,PK,Area under curve (AUC),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01923558,https://clinicaltrials.gov/study/NCT01923558,Phase 1,Completed,primary,PK,Area under curve (AUC),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02055703,https://clinicaltrials.gov/study/NCT02055703,Phase 1,Completed,primary,PK,To evaluate the pharmacokinetics (PK) of single oral doses of E2609 and metabolites in subjects dosed alone or in combination with either rifampin or itraconazole,Up to 48 days (Part A),Healthy Subjects,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02055703,https://clinicaltrials.gov/study/NCT02055703,Phase 1,Completed,primary,PK,To evaluate the PK of single oral doses of digoxin in subjects dosed alone or in combination with E2609,Up to 48 days (Part B),Healthy Subjects,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02055703,https://clinicaltrials.gov/study/NCT02055703,Phase 1,Completed,primary,PK,"To evaluate the PK of single oral doses of E2609 and metabolites in subjects dosed alone, in combination with donepezil, or 2 hours before donepezil dosing",Up to 86 day (Part C),Healthy Subjects,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02094053,https://clinicaltrials.gov/study/NCT02094053,Phase 2,Completed,secondary,PK,Pharmacokinetics (PK) of E2020 and placebo in subjects with Down syndrome having regression and disabled ADL,Up to Week 28,Down Syndrome,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02178124,https://clinicaltrials.gov/study/NCT02178124,Phase 1,Completed,secondary,PK,pharmacokinetics characteristic evaluation,"patch: -1~25d, oral -1~11d",Alzheimer Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02406261,https://clinicaltrials.gov/study/NCT02406261,Phase 1,Completed,primary,PK,Pharmacokinetic (PK): Area Under the Curve Zero to Infinity (AUC[0-∞]) for LY3314814,"Day 4: Predose, 0.5, 1, 2, 3, 4, 8, 12,",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02406261,https://clinicaltrials.gov/study/NCT02406261,Phase 1,Completed,primary,PK,PK Profile for Simvastatin: AUC(0-∞),"Day 2 and 36: Predose, 0.5, 1, 1.5, 2, 3",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02406261,https://clinicaltrials.gov/study/NCT02406261,Phase 1,Completed,primary,PK,PK Profile for Midazolam: AUC(0-∞) Oral and IV Dose,"Day 1, 3, 17, 35, and 37: Predose, 0.25,",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02406261,https://clinicaltrials.gov/study/NCT02406261,Phase 1,Completed,primary,PK,PK Profile for Donepezil: AUC(0-∞),"Day 1 and 28: predose 0.5,1, 2, 3, 4, 6,",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02635750,https://clinicaltrials.gov/study/NCT02635750,Phase 1,Completed,primary,PK,Part 1: AUC0-tz of BI 409306,Within 3 hours (h) prior to administrati,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT02635750,https://clinicaltrials.gov/study/NCT02635750,Phase 1,Completed,primary,PK,Part 1: Cmax of BI 409306,Within 3 hours (h) prior to administrati,Healthy,No
