Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
DDC,Carbidopa,NCT01437293,https://clinicaltrials.gov/study/NCT01437293,Phase 1,Completed,secondary,PK,Composite (or Profile) of Pharmacokinetics,"18, 32, 46, 60, 74, 104 minutes post dos",Cocaine Abuse,No
DDC,Carbidopa,NCT01479127,https://clinicaltrials.gov/study/NCT01479127,Phase 2,Completed,secondary,PK,Time to Reach Peak Plasma Concentration (Tmax) After Administration of Oral Levodopa/Carbidopa (L/C) Tablets and Intra-jejunal Administration of ABT-SLV187,"Baseline (Day -1): pre-dose; 15, 30, 45,",Advanced Parkinson's Disease,Yes
DDC,Carbidopa,NCT01479127,https://clinicaltrials.gov/study/NCT01479127,Phase 2,Completed,secondary,PK,"Peak Plasma Concentration (Cmax), Average Plasma Concentration (Cavg), Trough Plasma Concentration (Cmin), and Cmin Within 2 and 12 Hours (Cmin [2-12 Hours]) After Administration of Oral L/C Tablets and Intra-jejunal Adm","Baseline (Day -1), End of ABT-SLV187 Tre",Advanced Parkinson's Disease,Yes
DDC,Carbidopa,NCT01479127,https://clinicaltrials.gov/study/NCT01479127,Phase 2,Completed,secondary,PK,"The Area Under the Concentrations-time Curve From 0 to 12 and 0 to 16 Hours (AUC0-12, AUC0-16) After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187","Baseline (Day -1), End of ABT-SLV187 Tre",Advanced Parkinson's Disease,Yes
DDC,Carbidopa,NCT01479127,https://clinicaltrials.gov/study/NCT01479127,Phase 2,Completed,secondary,PK,"AUC0-12/Dose0-12, AUC0-16/Dose0-16 After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187","Baseline (Day -1), End of ABT-SLV187 Tre",Advanced Parkinson's Disease,Yes
DDC,Carbidopa,NCT01479127,https://clinicaltrials.gov/study/NCT01479127,Phase 2,Completed,secondary,PK,Ratio of Metabolite 3-OMD to Levodopa (M/P [AUC0-12]) After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187,"Baseline (Day -1), End of ABT-SLV187 Tre",Advanced Parkinson's Disease,Yes
DDC,Carbidopa,NCT01484990,https://clinicaltrials.gov/study/NCT01484990,Phase 1,Completed,primary,PK,Profile of Pharmacokinetics,"5mins, then every 30 minutes up to 8 hou",Parkinson Disease,Yes
DDC,Carbidopa,NCT01519284,https://clinicaltrials.gov/study/NCT01519284,Phase 1,Completed,primary,PK,Cmax - Maximum Plasma Concentration of Levodopa,8 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT01519284,https://clinicaltrials.gov/study/NCT01519284,Phase 1,Completed,secondary,PK,Tmax - Time to Reach Maximum Plasma Concentration of Levodopa,8 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT01519284,https://clinicaltrials.gov/study/NCT01519284,Phase 1,Completed,secondary,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification.,8 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT01519284,https://clinicaltrials.gov/study/NCT01519284,Phase 1,Completed,secondary,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity,8 days,Parkinson Disease,Yes
