Target,Biomarker_category,Biomarker_measure,N_trials,N_PDneuro_trials,Drugs
INSR,PK,"Cmax,IGlar,SS (for insulin glargine) - Maximum observed serum insulin glargine concentration at steady state",1,0,Insulin
INSR,PK,"Cmax,IGlar,SS - Maximum observed serum IGlar concentration at steady state",1,0,Insulin
INSR,PK,"Cmax,ins: the maximal serum insulin (or serum insulin aspart) concentration",1,0,Insulin
INSR,PK,"Cmax,NNC0471-0119: Maximum observed serum NNC0471- 0119 concentration",1,0,Insulin
INSR,PK,Cmax.LIS,1,0,Insulin
INSR,PK,Cmax_lisp,1,0,Insulin
INSR,PK,Cmax_lispro,1,0,Insulin
INSR,PK,CmaxBG,1,0,Insulin
INSR,PK,"Cmaxglu: Peak plasma glucose following test meal (breakfast). A comparison will be made between fast-acting human insulin vs. IAsp, BIAsp 50 and BIAsp 70, IAsp vs BIAsp 50 and BIAsp 70, BIAsp 50 vs. BIAsp 70.",1,0,Insulin
INSR,PK,"Cohort 2, 3, 4: Assess the population PK and intra-tumoral concentration of study intervention.",1,0,Insulin
INSR,PK,Cohorts 1a/1b: Evaluate the pharmacokinetic impact by measuring AUC.,1,0,Insulin
INSR,PK,Cohorts 1a/1b: Evaluate the pharmacokinetic impact by measuring Cmax.,1,0,Insulin
INSR,PK,Cohorts 1a/1b: Evaluate the pharmacokinetic impact by measuring Tmax.,1,0,Insulin
INSR,PK,compare the pharmacokinetics of test doses of preprandial HIIP and preprandial injectable insulin (regular human insulin or insulin lispro) administered to a subgroup of patients,1,0,Insulin
INSR,PK,"Comparison of glucose sensor 2h, 3h and 4h post-prandial and AUC in conditions identical meals for each trigger level (50 or 75%). Measuring AUC during and 2 hours after physical activity, then to lunch time, during dinn",1,0,Insulin
INSR,PK,CV_AUC-PG_3-8h,1,0,Insulin
INSR,PK,Dose-corrected area-under-the serum insulin concentration vs. time curve (AUC0-540 min) for inhaled Technosphere® Insulin compared to that of subcutaneous regular human insulin,1,0,Insulin
INSR,PK,"Dose-normalised AUCIco,τ,SS, Area under the serum insulin icodec concentration-time curve during one dosing interval at steady state divided by dose",1,0,Insulin
INSR,PK,"Dose-normalised AUCSema,0-inf: Area under the plasma semaglutide concentration-time curve after a single dose divided by dose",1,0,Insulin
INSR,PK,"Dose-normalised AUCSema,0-tz: Area under the plasma semaglutide concentration-time curve after a single dose divided by dose",1,0,Insulin
INSR,PK,"Dose-normalised Cmax,Ico,SS, Maximum observed serum insulin icodec concentration after the last dose divided by dose",1,0,Insulin
INSR,PK,"Dose-normalised Cmax,Sema: Maximum observed plasma semaglutide concentration after a single dose divided by dose",1,0,Insulin
INSR,PK,Duration of Insulin Action (AUMC[0-360]/AUC[0-360]),1,0,Insulin
INSR,PK,"Duration of Insulin Action (AUMC[0-360]/AUC[0-360]), Stage 1",1,0,Insulin
INSR,PK,"Duration of Insulin Action (AUMC[0-360]/AUC[0-360]), Stage 3",1,0,Insulin
INSR,PK,"Early Exposure to Insulin (%AUC[0-60]), Stage 3",1,0,Insulin
INSR,PK,Early Insulin Exposure (%AUC[0-60]),1,0,Insulin
INSR,PK,"Early Insulin Exposure (%AUC[0-60]), Stage 1",1,0,Insulin
INSR,PK,"Efficacy endpoints include: additional PK parameters of serum insulin and serum FDKP, Pharmacodynamic parameters of sersum insulin, safety of T/I",1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Absolute 24-hour Plasma Glucagon Area Under the Plasma Concentration-time Curve (AUC),1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Absolute 24-hour Plasma Glucose Area Under the Plasma Concentration-time Curve (AUC),1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Absolute Plasma Glucose Area Under the Plasma Concentration-time Curve (AUC) Following Breakfast,1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Absolute Plasma Glucose Area Under the Plasma Concentration-time Curve (AUC) Following Dinner,1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Absolute Plasma Glucose Area Under the Plasma Concentration-time Curve (AUC) Following Lunch,1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Incremental 24-hour Plasma Glucagon Area Under the Plasma Concentration-time Curve (AUC),1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Incremental 24-hour Plasma Glucose Area Under the Plasma Concentration-time Curve (AUC),1,0,Insulin
INSR,PK,Efficacy of Pramlintide by Measurement of Incremental 24-hour Tissue Glucose Area Under the Plasma Concentration-time Curve (AUC) Obtained With Continuous Glucose Monitoring (CGM),1,0,Insulin
INSR,PK,Ertugliflozin Plasma Concentrations (ng/mL): Summary Statistics Over Time (Excluding Rescue Approach),1,0,Insulin
INSR,PK,Evaluate effect of topical metformin on decreasing serum concentration of insulin-like growth factor 1 (IGF-1),1,0,Insulin
INSR,PK,Evaluate intra- and intersubjects variation in pharmacokinetic,1,0,Insulin
INSR,PK,Evaluate pharmacokinetics of insulin following duodenal administration,1,0,Insulin
INSR,PK,Exploratory PK endpoint,1,0,Insulin
INSR,PK,Explore any influence of PH/ insulin concentration on PK /PD parameters,1,0,Insulin
INSR,PK,For Multiplex PK Profiling: Aggregate Mean Difference in Tmax Between the Analog With Greatest and the Analog With the Least Value of Tmax for Individuals,1,0,Insulin
INSR,PK,Fraction of the possible difference in ß-cell function and insulin sensitivity between Japanese and Caucasian that can be explained by each covariate factor,1,0,Insulin
INSR,PK,fractional and total insulin areas under the curve (AUC),1,0,Insulin
INSR,PK,Frexalimab plasma concentrations over time,1,0,Insulin
INSR,PK,"GIRmax, maximum glucose infusion AUCGIR,0-32h, AUCGIR,0-12h, AUCGIR,12-32h, tinf=0, Cmax,ins, tmax,ins, AUCins,0-24h AUCins,0-∞ AUCins,0-12h AUCins,12-24h",1,0,Insulin
INSR,PK,Glucodynamics (GD): Area Under the Baseline Subtracted Glucose Concentration Curve (BGΔAUC) for Each Treatment Arm,1,0,Insulin
INSR,PK,Glucodynamics (GD): Change From Baseline Area Under the Concentration Curve From Time Zero to 5 Hours (AUC [0-5 h]) of Glucose Relative to MMTT Following Administration of Each Study Arm With a Standard Dual-wave Bolus,1,0,Insulin
INSR,PK,Glucodynamics (GD): Change From Baseline Area Under the Concentration Curve From Time Zero to 5 Hours (AUC [0-5h]) of Glucose Relative to Mixed Meal Tolerance Test Following Administration of Each Study Arm With a Standa,1,0,Insulin
INSR,PK,Glucose Area Under Curve [AUC],1,0,Insulin
INSR,PK,Glucose Area Under the Curve (AUC) Post MMTT,1,0,Insulin
INSR,PK,Glucose AUC0-t will be assessed (Cohort 1),1,0,Insulin
INSR,PK,Glucose AUC0-t will be assessed (Cohort 2),1,0,Insulin
INSR,PK,Glucose AUC0-t will be assessed (Cohort 3),1,0,Insulin
INSR,PK,Glucose turnover overnight Insulin pharmacokinetics,1,0,Insulin
INSR,PK,HbA1c plasma concentration,1,0,Insulin
INSR,PK,INS-Area Under the Curve (AUC) over 24 and 36 hours after dosing (INS AUC 0-24 and INS AUC 0-36),1,0,Insulin
INSR,PK,INSAUC,1,0,Insulin
INSR,PK,Insulin Area Under the Concentration (AUC) Curve,1,0,Insulin
INSR,PK,Insulin Area Under the Curve (AUC) - Second Phase Response,1,0,Insulin
INSR,PK,Insulin Area Under the Curve (AUC) Post MMTT,1,0,Insulin
INSR,PK,Insulin AUC,1,0,Insulin
INSR,PK,insulin AUC,1,0,Insulin
INSR,PK,Insulin Cmax,1,0,Insulin
INSR,PK,Insulin detemir pharmacokinetics with and without liraglutide administration,1,0,Insulin
INSR,PK,Insulin Maximum Concentration (Cmax),1,0,Insulin
INSR,PK,Insulin measurements will be used to compute PK model parameters: absorption rate(s) and elimination rate using an appropriate transport model.,1,0,Insulin
INSR,PK,Intra-participant Variability in Percent of Total Area Under the Plasma Insulin Concentration-Versus-Time Curve Attained by Time T (%AUC[0-T]),1,0,Insulin
INSR,PK,"Intra-patient and inter-patient comparison of CV % between treatments was based on a t-test.for bioavailability (ie, SI AUC0-540 min) & bioeffect (ie, GIR AUC0-540 min)",1,0,Insulin
INSR,PK,IRAP plasma concentration during the hyperinsulinemic euglycemic clamp,1,0,Insulin
INSR,PK,Lixisenatide maximum plasma/serum peak concentration (LIX-Cmax),1,0,Insulin
INSR,PK,Maximal Plasma Insulin Glargine Concentration (Cmax) Part 4,1,0,Insulin
INSR,PK,Maximal Plasma Insulin Glargine Concentration (Cmax) Parts 1 and 3,1,0,Insulin
INSR,PK,Maximal Plasma MK-1092 Concentration (Cmax) Part 4,1,0,Insulin
INSR,PK,Maximal Plasma MK-1092 Concentration (Cmax) Parts 1 and 3,1,0,Insulin
INSR,PK,"Maximum concentration (Cmax, μIU/mL)",1,0,Insulin
INSR,PK,Maximum drug concentration of the two formulations (Cmax),1,0,Insulin
INSR,PK,Maximum glucose concentration (Cmax),1,0,Insulin
INSR,PK,Maximum insulin aspart concentration (Cmax IAsp),1,0,Insulin
INSR,PK,Maximum Insulin Concentration (Cmax) - First Phase Response,1,0,Insulin
INSR,PK,Maximum Insulin Concentration (Cmax) - Second Phase Response,1,0,Insulin
INSR,PK,Maximum insulin concentration (INS-Cmax),1,0,Insulin
INSR,PK,"Maximum insulin concentration INS-Cmax, and time to Cmax (INS-Tmax)",1,0,Insulin
INSR,PK,maximum insulin serum concentration,1,0,Insulin
INSR,PK,"Maximum observed serum insulin icodec concentration after a single dose (Cmax,Ico,SD)",1,0,Insulin
INSR,PK,"Maximum observed SHR-3167 concentration (Cmax, ss).",1,0,Insulin
INSR,PK,Maximum plasma concentration (Cmax) of insulin aspart,1,0,Insulin
INSR,PK,"Maximum plasma concentration (Cmax) of SAR342434, US-approved Humalog and EU-approved Humalog",1,0,Insulin
INSR,PK,Maximum Plasma Insulin Concentration (Cmax),1,0,Insulin
INSR,PK,Maximum serum insulin aspart concentration (Cmax) (for IDegAsp),1,0,Insulin
INSR,PK,Maximum serum insulin degludec concentration (Cmax) (for IDegAsp),1,0,Insulin
INSR,PK,Maximum serum insulin degludec concentration (Cmax) (for insulin degludec),1,0,Insulin
INSR,PK,Mean AUC0-24h and Cmax,1,0,Insulin
INSR,PK,Mean C-peptide AUC value,1,0,Insulin
INSR,PK,"Mean Change From Baseline in Time Normalized Plasma Glucagon AUC (From MMTT) at Week 16, 28, 52 and 64",1,0,Insulin
INSR,PK,Mean Change From Baseline in Time Normalized Stimulated (From Mixed Meal Tolerance Test [MMTT]) 2-hour Plasma C-peptide Area Under the Curve (AUC) at Week 52,1,0,Insulin
INSR,PK,"Mean Change From Baseline in Time Normalized Stimulated (From MMTT) 2 Hour Plasma C-peptide AUC at Week 16, 28 and Week 64",1,0,Insulin
INSR,PK,"Mean Plasma Glucose Area Under the Curve (AUC) for Blood Glucose Concentration in the Exenatide 1.25 mcg or Exenatide 2.5 mcg Treated Groups Along With Insulin, Compared to Insulin Alone",1,0,Insulin
INSR,PK,"Measuring glucose sensor 2h, 3h and 4h post-prandial and AUC, in every situation tested to evaluate the efficacy and safety (time spent in hypoglycemia)",1,0,Insulin
INSR,PK,"Model-based area under the serum insulin icodec concentration-time curve during one dosing interval at steady state (AUC,Ico,τ,SS,model)",1,0,Insulin
INSR,PK,"Model-based maximum serum insulin icodec concentration during one dosing interval at steady state (Cmax,Ico,SS,model)",1,0,Insulin
INSR,PK,Multiplex PK: Average Baseline HbA1c Categorized According to Baseline Use of Insulin Analog Found to Have the Most Favorable PK Profile for Each Individual,1,0,Insulin
INSR,PK,Multiplex PK: Average Number of Hypoglycemia Events Over the Last Month at Baseline Categorized According to Baseline Use of Insulin Analog Found to Have the Most Favorable PK Profile for Each Individual,1,0,Insulin
INSR,PK,N-terminal propeptide of type 1 procollagen (P1NP). At all time points and AUC(0-240 min).,1,0,Insulin
INSR,PK,"Part 1 SAD: AUC,I1063,SD- Area under the serum NNC0363-1063 concentration time curve after a single dose",1,0,Insulin
INSR,PK,"Part 1 SAD: AUC0-inf,I1063,SD: Area under the serum NNC0363-1063 concentration-time curve from 0 to infinity after a single dose",1,0,Insulin
INSR,PK,"Part 1 SAD: Cmax,I1063,SD- Maximum observed serum NNC0363-1063 concentration after a single dose",1,0,Insulin
INSR,PK,Part 1: Area Under the Curve (AUC) of Glucose Infusion Rate (GIR) From 0-6 Hours,1,0,Insulin
INSR,PK,Part 1: Area Under the Curve From Time Zero to the Last Measureable Concentration (AUC0-last),1,0,Insulin
INSR,PK,Part 1: Fractional and Absolute AUC0-1hr,1,0,Insulin
INSR,PK,Part 1: Fractional and Absolute AUC2hr-end,1,0,Insulin
INSR,PK,Part 1: Mean Maximum Concentration (Cmax),1,0,Insulin
INSR,PK,Part 1: Time to 50% of Total AUC (AUC0-last),1,0,Insulin
INSR,PK,"Part 2 PoP: AUC,I1063,SD- Area under the serum NNC0363-1063 concentration time curve after a single dose",1,0,Insulin
INSR,PK,"Part 2 PoP: AUC0-inf,I1063,SD: Area under the serum NNC0363-1063 concentration-time curve from 0 to infinity after a single dose",1,0,Insulin
INSR,PK,"Part 2 PoP: Cmax,I1063,SD- Maximum observed serum NNC0363-1063 concentration after a single dose",1,0,Insulin
INSR,PK,Part 2: Insulin Analog Serum Concentration as a Function of Time Following Bolus Insulin Infusion,1,0,Insulin
INSR,PK,"Part 3 Meal test: AUC,PG,meal: Area under the plasma glucose concentration-time curve at steady state",1,0,Insulin
INSR,PK,"Part 3 Meal test: AUC0-1h,PG,meal: Area under the plasma glucose concentration-time curve from 0 to 1 hour after initiation of the meal test at steady state",1,0,Insulin
INSR,PK,"Part 3 Meal test: AUC0-2h,PG,meal: Area under the plasma glucose concentration-time curve from 0 to 2 hours after initiation of the meal test at steady state",1,0,Insulin
INSR,PK,"Part 3 Meal test: AUC0-4h,PG,mean: Area under the plasma glucose concentration-time curve from 0 to 4 hours after initiation of the meal test at steady state",1,0,Insulin
INSR,PK,"Part 3 Meal test: AUC0-6h,PG,meal: Area under the plasma glucose concentration-time curve from 0 to 6 hours after initiation of the meal test at steady state",1,0,Insulin
INSR,PK,"Part 3 Meal test: AUCτ,I1063,SS: Area under the serum NNC0363-1063 concentration-time curve during one dosing interval at steady state",1,0,Insulin
INSR,PK,"Part 3 Meal test: Cmax,I1063,SS: Maximum observed serum NNC0363-1063 concentration during one dosing interval at steady state",1,0,Insulin
INSR,PK,Part 3: Insulin Analog Serum Concentration as a Function of Time Following Termination of Insulin Infusion,1,0,Insulin
INSR,PK,Part A and Part B: Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC),1,0,Insulin
INSR,PK,Part A: Pharmacokinetics (PK ): Area Under the Concentration Curve From Zero to the Last Recorded Time Post Dose (AUC0-tlast),1,0,Insulin
INSR,PK,Part A: Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC) of LY3938577,1,0,Insulin
INSR,PK,Part A: Pharmacokinetics: Area Under the Concentration Versus Time Curve Over the Dosing Interval (AUCτ) of LY2605541 and Insulin Glargine: Intra-Participant Variability,1,0,Insulin
INSR,PK,Part A: Pharmacokinetics: Maximum Drug Concentration (Cmax) of LY2605541 and Insulin Glargine: Intra-Participant Variability,1,0,Insulin
INSR,PK,Part A: PK: Maximum Observed Concentration (Cmax) of LY3938577,1,0,Insulin
INSR,PK,Part B: Pharmacodynamic (PD): Area under the glucose infusion rate curve (GIR AUC) of LY3938577,1,0,Insulin
INSR,PK,Part B: Pharmacokinetics (PK): Area Under the Concentration Curve From Zero to the Last Recorded Time Post Dose (AUC0-tlast) - Interparticipant Variability,1,0,Insulin
INSR,PK,Part B: Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC) of LY3938577,1,0,Insulin
INSR,PK,Part B: Pharmacokinetics: AUCτ of LY2605541 and Insulin Glargine: Exercise Versus Non-Exercise,1,0,Insulin
INSR,PK,Part B: Pharmacokinetics: Cmax of LY2605541 and Insulin Glargine: Exercise Versus Non-Exercise,1,0,Insulin
INSR,PK,Part B: Pharmacokinetics: ISF-to-Serum Concentrations,1,0,Insulin
INSR,PK,Part B: Pharmacokinetics: Steady-State Concentrations in Adipose Tissue Interstitial Fluid (ISF),1,0,Insulin
INSR,PK,Part B: PK: Maximum Observed Concentration (Cmax) of LY3938577,1,0,Insulin
INSR,PK,Part C: Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC) of LY3938577,1,0,Insulin
INSR,PK,Part D: Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC) of LY3938577,1,0,Insulin
INSR,PK,Part I: The within-subject coefficient of variation in time-action profile of glargine for AUC-GIR and GIRmax over the duration of action of glargine,1,0,Insulin
INSR,PK,"Part II: The within-subject coefficient of variation in time-action profile of glargine for AUC-GIR (AUC of glucose infusion rate), GIRmax (maximum level of glucose infusion rate), over the duration of action of glargine",1,0,Insulin
INSR,PK,Participants Mean Level of 17-OHP Area Under the Curve (AUC) - 24 Hours,1,0,Insulin
INSR,PK,Participants Mean Level of 17-OHP Area Under the Curve (AUC) - Daytime (0700-1500),1,0,Insulin
INSR,PK,Participants Mean Level of 17-OHP Area Under the Curve (AUC) - Midday (1500 - 2300),1,0,Insulin
INSR,PK,Participants Mean Level of 17-OHP Area Under the Curve (AUC) - Nighttime (2300 - 0700),1,0,Insulin
INSR,PK,Participants Mean Level of ACTH Area Under the Curve (AUC) - 24 Hours,1,0,Insulin
INSR,PK,Participants Mean Level of ACTH Area Under the Curve (AUC) - Daytime (0700-1500),1,0,Insulin
INSR,PK,Participants Mean Level of ACTH Area Under the Curve (AUC) - Midday (1500 - 2300),1,0,Insulin
INSR,PK,Participants Mean Level of ACTH Area Under the Curve (AUC) - Nighttime (2300 - 0700),1,0,Insulin
INSR,PK,Participants Mean Level of Androstenedione Area Under the Curve (AUC) - 24 Hours,1,0,Insulin
INSR,PK,Participants Mean Level of Androstenedione Area Under the Curve (AUC) - Daytime (0700-1500),1,0,Insulin
INSR,PK,Participants Mean Level of Androstenedione Area Under the Curve (AUC) - Midday (1500 - 2300),1,0,Insulin
INSR,PK,Participants Mean Level of Androstenedione Area Under the Curve (AUC) - Nighttime (2300 - 0700),1,0,Insulin
INSR,PK,Participants Mean Level of Progesterone Area Under the Curve (AUC) - 24 Hours,1,0,Insulin
INSR,PK,Participants Mean Level of Progesterone Area Under the Curve (AUC) - Daytime (0700-1500),1,0,Insulin
INSR,PK,Participants Mean Level of Progesterone Area Under the Curve (AUC) - Midday (1500 - 2300),1,0,Insulin
INSR,PK,Participants Mean Level of Progesterone Area Under the Curve (AUC) - Nighttime (2300 - 0700),1,0,Insulin
INSR,PK,PD endpoint: area under the glucose infusion rate curve(AUCGIR).0-2h,1,0,Insulin
INSR,PK,PD endpoint: area under the glucose infusion rate curve(AUCGIR).0-6h,1,0,Insulin
INSR,PK,PD endpoint: area under the glucose infusion rate curve(AUCGIR).6-12h,1,0,Insulin
INSR,PK,PD endpoint:area under the glucose infusion rate curve(AUCGIR)0-24h,1,0,Insulin
INSR,PK,"PD endpoints like GIR max, t max/GIR, AUC GIR 0-120 min, AUC GIR 0-720 min, t >2/GIR, early and late t 50%/GIR",1,0,Insulin
INSR,PK,PD endpoints: Area under the glucose infusion rate curve(AUCGIR).0-12h,1,0,Insulin
INSR,PK,PD: AUC of Glucose Infusion Rate (GIR),1,0,Insulin
INSR,PK,"PD: AUCGIR.0-last, area under the glucose infusion rate curve from 0 hours until the end of the glucose clamp",1,0,Insulin
INSR,PK,"PD: AUCGIR0-4h, AUCGIR0-6h, AUCGIR6-last, areas under the glucose infusion rate curve in the indicated time-intervals",1,0,Insulin
INSR,PK,Peak Serum Insulin Concentration (Cmax),1,0,Insulin
INSR,PK,Percentage of Total Area Under the Concentration-time Curve for Serum Insulin Attained by Time t (AUC0-t),1,0,Insulin
INSR,PK,Pharmacodynamic Endpoint: Area under curve (AUC)Glucose infusion rate (GIR).0-24h,1,0,Insulin
INSR,PK,Pharmacodynamic endpoints: area under the glucose infusion rate curve (AUCGIR) 0-2h,1,0,Insulin
INSR,PK,Pharmacodynamic endpoints: area under the glucose infusion rate curve (AUCGIR)0-6h,1,0,Insulin
INSR,PK,Pharmacodynamic endpoints: area under the glucose infusion rate curve (AUCGIR)12-24h,1,0,Insulin
INSR,PK,Pharmacodynamic endpoints: area under the glucose infusion rate curve(AUCGIR)0-12h,1,0,Insulin
INSR,PK,Pharmacodynamic: Area under the blood glucose concentration time curve from 0-8 hours after a standardized meal: AUCbg(0-8h),1,0,Insulin
INSR,PK,Pharmacodynamics (PD): Area Under the Concentration Curve From Time Zero to 5 Hours (AUC[0-5h]) of Glucose Relative to a Mixed Meal Tolerance Test (MMTT),1,0,Insulin
INSR,PK,Pharmacodynamics (PD): Area Under the Concentration Zero Through 5 Hours (AUC 0-5h) for Triglycerides,1,0,Insulin
INSR,PK,Pharmacodynamics (PD): AUC of Glucose Following a Meal,1,0,Insulin
INSR,PK,Pharmacodynamics: Three-Hour Postprandial Glucose Area Under the Concentration Time Curve (AUC),1,0,Insulin
INSR,PK,Pharmacodynamics: Three-Hour Postprandial Glucose Area Under the Concentration Time Curve (AUC) Excursion,1,0,Insulin
INSR,PK,Pharmacokinetic effects,1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: area under the insulin concentration curve(AUCins) 0-12h,1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: area under the insulin concentration curve(AUCins) 0-2h,1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: area under the insulin concentration curve(AUCins) 0-6h,1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: area under the insulin concentration curve(AUCins).0-infinity,1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: area under the insulin concentration curve(AUCins)12-24h,1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: AUC Lisp(0-last),1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: Cmax(Lisp),1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: terminal elimination half-life (t½),1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: time to maximum observed insulin concentration (tmax),1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: time(t)50%-ins(early),1,0,Insulin
INSR,PK,Pharmacokinetic endpoint: time(t)50%-ins(late),1,0,Insulin
INSR,PK,Pharmacokinetic endpoint:terminal elimination rate constant(λz),1,0,Insulin
INSR,PK,Pharmacokinetic endpoints: area under the insulin concentration curve (AUCins) 0-24h,1,0,Insulin
INSR,PK,Pharmacokinetic endpoints: insulin concentration (Cins).max,1,0,Insulin
INSR,PK,Pharmacokinetic parameter: Area under curve from 0-10hrs,1,0,Insulin
INSR,PK,Pharmacokinetic Parameter: Area Under the Curve(AUC),1,0,Insulin
INSR,PK,Pharmacokinetic parameter: area under the plasma concentration curve from time 0 to infinity (AUC [0 to infinity]),1,0,Insulin
INSR,PK,Pharmacokinetic Parameter: Area Under the Serum Insulin Concentration Versus Time Curve From Time Zero to the Last Time Point With a Measurable Concentration [AUC0-tlast],1,0,Insulin
INSR,PK,Pharmacokinetic Parameter: Area Under the Serum Insulin Concentration Versus Time Curve From Zero to Time of Return to Baseline (AUC0-tlast),1,0,Insulin
INSR,PK,Pharmacokinetic parameter: clearance (CL),1,0,Insulin
INSR,PK,Pharmacokinetic Parameter: Maximum Serum Insulin Concentration (Cmax),1,0,Insulin
INSR,PK,Pharmacokinetic Parameter: Maximum Serum Insulin Concentration [Cmax],1,0,Insulin
INSR,PK,Pharmacokinetic parameter: plasma apparent terminal half-life,1,0,Insulin
INSR,PK,Pharmacokinetic parameter: steady state plasma concentration (Css),1,0,Insulin
INSR,PK,Pharmacokinetic Parameter: Time of Maximum Observed Serum Concentration (Tmax),1,0,Insulin
INSR,PK,Pharmacokinetic parameter: volume of distribution (Vd),1,0,Insulin
INSR,PK,Pharmacokinetic profiles of endogenous insulin and Insulin Aspart,1,0,Insulin
INSR,PK,Pharmacokinetic properties,1,0,Insulin
INSR,PK,Pharmacokinetic variable: insulin,1,0,Insulin
INSR,PK,Pharmacokinetic variables,1,0,Insulin
INSR,PK,Pharmacokinetic: Area under the serum insulin lispro concentration time curve from 0-8hours: AUClisp(0-8h),1,0,Insulin
INSR,PK,Pharmacokinetic: Maximum observed serum insulin lispro concentration: Cmax(lisp),1,0,Insulin
INSR,PK,Pharmacokinetics,1,0,Insulin
INSR,PK,Pharmacokinetics (PK) : Insulin Lispro Area Under the Concentration Curve Zero to Infinity (AUC[0-∞]) ),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under The Concentration Curve (AUC 0-30mins) of Insulin Lispro,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area under the Concentration Curve (AUC) of Insulin Lispro,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Concentration Curve Concentration Curve Zero Through 5 Hours (AUC 0-5h) for Prandial Insulin Lispro,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Concentration Curve From Time Zero to Last Time (AUC [0 Tlast]) for Paracetamol,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Concentration Curve Zero Through 5 Hours (AUC 0-5h) for Acetaminophen,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC) of LY4057996,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve (AUC0-∞) of LY2605541 and Insulin Lispro,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Drug Plasma Concentration Versus Time Curve from Time Zero to 168 hours (AUC[0-168]) of LY3209590,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Drug-Plasma-Concentration-Versus-Time Curve from Time Zero to 168 Hours Postdose (AUC[0-168]) of LY3209590,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Area Under the Plasma Concentration Versus Time Curve From Time Zero to Last Measurable Timepoint (AUClast) of Insulin Aspart Following Administration of Either SAR341402 (Switching Arm) or NovoLog,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve (AUC),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve (AUC) Following Each Treatment Arm for Each Study Part,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve From Time Zero to 5 Hours (AUC [0-5 h]) of Following Administration of Each Study Arm With a Standard Dual-wave Bolus,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve From Time Zero to 5 Hours (AUC[0-5h]),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve From Time Zero to 5 Hours(h) (AUC [0-5 h]) Following Administration of Each Study Arm With a Standard Single-wave Bolus,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve From Time Zero to 8 Hours (AUC[0-8 Hours]),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve Zero to 10 Hours (AUC 0-10h) Following Administration of Each Treatment Arm,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Curve Zero to Seven Hours (AUC0-7hr),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Concentration Versus Time Curve (AUC),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Plasma Concentration Curve Zero to 10 Hours (AUC[0-10) Following Each Treatment Arm,1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Area Under the Serum Concentration Versus Time Curve From Time Zero to 10 Hours Postdose (AUC[0-10h]),1,0,Insulin
INSR,PK,Pharmacokinetics (PK): Insulin Lispro Maximum Concentration (Cmax) (Part B),1,0,Insulin
