Targets,Drug,NCT_ID,URL,Phase,Status,Start_date,Enrollment,Conditions,N_primary,N_secondary,Primary_outcome_measures,Secondary_outcome_measures,Biomarker_measures
TNF,Infliximab,NCT00317538,https://clinicaltrials.gov/study/NCT00317538,Phase 3,Completed,2003-06-01,28,Rheumatoid Arthritis,1,1,"Evaluate safety and evidence of therapeutic benefit of infliximab and methotrexate, in patients with rheumatoid arthritis who have had an incomplete response to etanercept and methotrexate (MTX), at week 16","Evaluate pharmacokinetics, immunogenicity, structural damage and pharmacodynamics over the study period",Yes
TNF,Infliximab,NCT00325078,https://clinicaltrials.gov/study/NCT00325078,Phase 1,Terminated,2006-05-01,40,Chronic Granulomatous Disease; Crohn'S-like IBD; Inflammatory Bowel Disease (IBD),2,0,Efficacy of Treatment With Study Drug ~ Safety of Study Drug,,Yes
TNF,Infliximab,NCT00336492,https://clinicaltrials.gov/study/NCT00336492,Phase 3,Completed,2006-09-01,60,Ulcerative Colitis,1,1,The Number of Participants With Clinical Response at Week 8,The Number of Participants With Pediatric Ulcerative Colitis Activity Index (PUCAI) Remission at Week 54,No
TNF,Infliximab,NCT00358670,https://clinicaltrials.gov/study/NCT00358670,Phase 3,Terminated,2006-05-01,441,Psoriasis,1,4,Number of Participants Who Achieved Psoriasis Area and Severity Index 75 (PASI75) Response at Week 128,Number of Participants Who Achieved PASI75 Response at Week 100 ~ Number of Participants Who Achieved PASI75 Response at Week 52 ~ PASI 12-month AUC (Time Adjusted Total PASI Score Over the 12 Month Period) ~ PASI 6-mont,No
TNF,Infliximab,NCT00367237,https://clinicaltrials.gov/study/NCT00367237,Phase 3,Completed,2006-05-01,115,"Arthritis, Psoriatic",1,3,Number of Subjects Achieving ACR20 (at Least 20% Improvement in American College of Rheumatology Criteria From Baseline) at Week 16,"Adverse Events ~ Change in Disease Activity Score, Each of the ACR20 Domains, Dactylitis, Enthesitis, Fatigue and Duration of Morning Stiffness, Erythrocyte Sedimentation Rate, and Disability Index of the Health Assessme",No
TNF,Infliximab,NCT00368264,https://clinicaltrials.gov/study/NCT00368264,Phase 2,Terminated,2006-09-01,1,"Lupus Erythematosus, Systemic; Lupus Nephritis",1,8,Comparison of time needed to reduce proteinuria to 1.5 g/day or less between the infliximab plus azathioprine and the azathioprine only group.,"Absolute reduction in SLE disease activity (measured by SIS and SLEDAI). ~ Absolute reduction in proteinuria at 6 weeks, 12 weeks, 20 weeks, 36 weeks, and 52 weeks after the first infusion. ~ Changes in Fatigue as determ",No
TNF,Infliximab,NCT00372723,https://clinicaltrials.gov/study/NCT00372723,Phase 2,Withdrawn,2006-07-01,0,Toxic Epidermal Necrolysis,1,1,30 day mortality,Safety labs and adverse events,No
TNF,Infliximab,NCT00394589,https://clinicaltrials.gov/study/NCT00394589,Phase 3,Terminated,2006-03-01,43,Rheumatoid Arthritis,1,0,Change in Disease Activity Score Based on 28 Joint Count (DAS28) Score.,,No
TNF,Infliximab,NCT00396747,https://clinicaltrials.gov/study/NCT00396747,Phase 4,Completed,2003-06-01,45,Rheumatoid Arthritis,1,2,"MRI synovitis, bone edema and erosions score","Efficacy (DAS Score, ACR response) ~ Side effects",No
TNF,Infliximab,NCT00432406,https://clinicaltrials.gov/study/NCT00432406,Phase 4,Completed,2006-05-01,40,Psoriatic Arthritis,2,2,"Changes in the cardiovascular risk factor levels which are directly mediated by TNF-α ~ Changes in the degree of inflammation as reflected by the MRI score, cytokines and chemokine levels","Correlation of clinical parameter, inflammatory markers and MRI findings ~ Number of patients who can achieve ACR 20",Yes
TNF,Infliximab,NCT00432432,https://clinicaltrials.gov/study/NCT00432432,Phase 4,Completed,2005-02-01,38,Ankylosing Spondylitis,1,1,The number of patient exhibited an ASAS 20 response to treatment at week 20.,Proportion of patients with 50% and 70% improvement in disease activity.Patient global assessment of disease activity and pain;BASFI;early morning stiffness;physician global assessment of disease activity.Changes in the ,No
TNF,Infliximab,NCT00439283,https://clinicaltrials.gov/study/NCT00439283,Phase 3,Completed,2003-04-01,240,Ankylosing Spondylitis,1,14,"The primary end point was the proportion of patients with a 20% improvement response according to the ASAS criteria, at week 54.",Achievement of the ASAS50 and ASAS70. ~ Acute-phase reactants (erythrocyte sedimentation rate and C-reactive protein level). ~ BASDAI. ~ Chest expansion score. ~ Finger to floor test. ~ Improvement in independent compone,No
TNF,Infliximab,NCT00443222,https://clinicaltrials.gov/study/NCT00443222,Phase 2,Completed,,,Refractory Myositis,0,0,,,
TNF,Infliximab,NCT00462072,https://clinicaltrials.gov/study/NCT00462072,Phase 4,Completed,2007-03-01,31,Crohn's Disease; Psoriasis; Psoriatic Arthritis; Rheumatoid Arthritis,6,0,Baseline (Wk 0) Disease Activity Score (DAS28) ~ Baseline (Wk 0) Psoriasis Area and Severity Index (PASI) ~ Baseline (Wk 10) Psoriasis Area and Severity Index (PASI) ~ Disease Activity Score (DAS28) Delta ~ Psoriasis Are,,No
TNF,Infliximab,NCT00463580,https://clinicaltrials.gov/study/NCT00463580,Phase 4,Completed,2008-12-01,60,Depression,1,9,Hamilton Depression Rating Scale 17 (HDRS-17) Scores,Change in Hamilton Depression Rating Scale 17 (HDRS-17) Scores Subgrouped by Baseline Hs-CRP ~ Inventory of Depressive Symptomatology-Self-Report (IDS-SR) Scores ~ Number of Participants With a 50% Reduction in Hamilton ,Yes
TNF,Infliximab,NCT00505947,https://clinicaltrials.gov/study/NCT00505947,Phase 3,Terminated,2007-07-01,12,Diabetic Macular Edema; Diabetic Retinopathy; Visual Acuity,1,1,improvement in best corrected visual acuity,anatomical improvement of diabetic macular edema and improvement in diabetic retinopathy,No
TNF,Infliximab,NCT00507403,https://clinicaltrials.gov/study/NCT00507403,Phase 4,Completed,2007-10-01,30,Ankylosing Spondylitis,1,1,Pharmacokinetic properties of infliximab in AS patients with or without methotrexate,Individual pharmacokinetic modelisation of infliximab,Yes
TNF,Infliximab,NCT00512278,https://clinicaltrials.gov/study/NCT00512278,Phase 2,Completed,2007-07-01,146,Hepatitis C,2,3,"A Comparison of the Percentage of Chronic Hepatitis C Subjects (Treatment Naive,Genotype 1) Who Achieve SVR at Week 72, After 48 Weeks of Treatment. ~ Number of Participants Achieving Sustained Virological Response (SVR)",A Comparison of the Percentage of Participants With Non-detectable HCV-RNA After 24 Weeks of Therapy. ~ Percentage of Participants Experiencing Medically Significant Infections ~ Percentage of Participants Experiencing S,No
